Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_Purchase,Chrome 120.0.0.0,,,31-12-2023 21:22:33,31-12-2023 21:23:02,28.381s,PASSED
,,,,,,,
Test Cases/demoblaze/01_sign_up,Chrome 120.0.0.0,,,31-12-2023 21:22:34,31-12-2023 21:22:41,7.013s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,31-12-2023 21:22:34,31-12-2023 21:22:35,1.577s,PASSED
"navigateToUrl(""https://www.demoblaze.com/index.html"")",Chrome 120.0.0.0,,,31-12-2023 21:22:35,31-12-2023 21:22:37,1.255s,PASSED
"click(findTestObject(""Object Repository/01_sign_up/Page_STORE/a_Sign up""))",Chrome 120.0.0.0,,,31-12-2023 21:22:37,31-12-2023 21:22:38,0.885s,PASSED
"setText(findTestObject(""01_sign_up/Page_STORE/inputsign-username""), username)",Chrome 120.0.0.0,,,31-12-2023 21:22:38,31-12-2023 21:22:39,1.072s,PASSED
"setText(findTestObject(""Object Repository/01_sign_up/Page_STORE/inputsign-password""), password)",Chrome 120.0.0.0,,,31-12-2023 21:22:39,31-12-2023 21:22:39,0.715s,PASSED
"click(findTestObject(""Object Repository/01_sign_up/Page_STORE/button_Sign up""))",Chrome 120.0.0.0,,,31-12-2023 21:22:39,31-12-2023 21:22:40,0.359s,PASSED
"click(findTestObject(""Object Repository/01_sign_up/Page_STORE/button_Close""))",Chrome 120.0.0.0,,,31-12-2023 21:22:40,31-12-2023 21:22:40,0.736s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,31-12-2023 21:22:40,31-12-2023 21:22:41,0.197s,PASSED
,,,,,,,
Test Cases/demoblaze/02_login,Chrome 120.0.0.0,,,31-12-2023 21:22:41,31-12-2023 21:22:48,7.533s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,31-12-2023 21:22:41,31-12-2023 21:22:42,0.815s,PASSED
"navigateToUrl(""https://www.demoblaze.com/index.html"")",Chrome 120.0.0.0,,,31-12-2023 21:22:42,31-12-2023 21:22:42,0.796s,PASSED
"click(findTestObject(""Object Repository/02_login/Page_STORE/a_Log in""))",Chrome 120.0.0.0,,,31-12-2023 21:22:42,31-12-2023 21:22:43,0.750s,PASSED
